gardiner_code,category_letter,category_name,english_name,phonetic_value,type,primary_meaning,secondary_meanings,common_contexts,notes,status,review_note
A56,A,Man and his occupations,Variant male figure A56,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain; may be alternate for earlier A-series signs; rare or absent in standard Middle Egyptian; possibly regional variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A57,A,Man and his occupations,Variant male figure A57,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain variant sign; rare in standard texts; may be period or regional variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A58,A,Man and his occupations,Variant male figure A58,none,determinative,uncertain — variant male figure,alternate form,uncertain or supplemental contexts,uncertain variant sign; rare,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
A60,A,Man and his occupations,Additional male figure variant A60,none,determinative,uncertain — additional male variant,alternate form,variant or supplemental contexts,uncertain; possible later addition or regional variant; not clearly documented in standard Gardiner 1957 list,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
B11,B,Woman and her occupations,Variant seated woman figure B11,none,determinative,uncertain — woman variant,female form,variant or supplemental contexts,uncertain variant sign; added after Gardiner 1957; not among the original seven B-category signs,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
B12,B,Woman and her occupations,Standing or alternate woman figure B12,none,determinative,uncertain — standing or alternate woman form,female person,variant or later contexts,uncertain; possible later Unicode addition; standing female figure variant; not in Gardiner 1957,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C13,C,Anthropomorphic deities,Uncertain deity figure C13,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; Wikipedia shows C12 then C17 as the 19th Dynasty additions with C13–C16 in between; these may be numbering gaps or supplemental non-standard signs; verify with primary Gardiner source,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C14,C,Anthropomorphic deities,Uncertain deity figure C14,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; possible gap between Amun (C12) and Montu (C17); may not correspond to an actual standard Gardiner sign,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C15,C,Anthropomorphic deities,Uncertain deity figure C15,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; possible gap in C-series numbering; check primary sources before relying on this entry,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
C16,C,Anthropomorphic deities,Uncertain deity figure C16,none,determinative,uncertain — deity figure possibly a gap in numbering,divine being,supplemental or gap contexts,uncertain; likely a numbering gap or post-Gardiner supplemental addition,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D64,D,Parts of the human body,Body part variant D64,none,determinative,uncertain — body part variant or numbering gap,physical form,uncertain or supplemental contexts,uncertain; Wikipedia lists D1–D70 with expected quantity 63 meaning 7 gaps or variants in the numbering; D64+ may be late additions or unfilled code slots,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D65,D,Parts of the human body,Body part variant D65,none,determinative,uncertain — body part variant or numbering gap,physical form,uncertain or supplemental contexts,uncertain; possibly related to leg or foot family; supplemental to core Gardiner 1957 D-list,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D66,D,Parts of the human body,Toe or foot variant D66,none,determinative,uncertain — toe or foot variant,extremity,uncertain or supplemental contexts,uncertain variant; possibly additional toe or foot sign beyond D61–D63,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D67,D,Parts of the human body,Body part variant D67,none,determinative,uncertain — body part variant or numbering gap,physical form,uncertain or supplemental contexts,uncertain variant sign in D series; may represent a gap in numbering,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D68,D,Parts of the human body,Sense organ or body variant D68,none,determinative,uncertain — possible eye or sense organ variant,sight or sense,uncertain or supplemental contexts,uncertain; possibly eye-related variant; supplemental to core Gardiner D list; verify with primary sources,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D69,D,Parts of the human body,Body part variant D69,none,determinative,uncertain — body part variant,physical form,uncertain or supplemental contexts,uncertain variant; supplemental to core Gardiner D signs; not in original 1957 grammar,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
D70,D,Parts of the human body,Body part variant D70,none,determinative,uncertain — body part variant or final gap entry,physical form,uncertain or supplemental contexts,uncertain; last listed D-series code slot; with expected quantity 63 and codes D1–D70 there are 7 gap or variant slots; verify D64–D70 against primary Egyptological sources,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
F9,F,Parts of mammals,Animal head (uncertain),none,determinative,uncertain — animal head variant,mammal head,supplemental animal-head determinative,Uncertain animal identification; supplemental sign,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
F50,F,Parts of mammals,Bundle on pole (uncertain),none,determinative,uncertain — tied bundle on pole,organic bundle|ritual object,ritual purification contexts,Uncertain identification; possibly tied organic material or hide,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
F51,F,Parts of mammals,Twisted plant material (uncertain),none,determinative,uncertain — twisted plant wick,light|fire|wick,lamp and fire contexts,Uncertain; possibly twisted flax wick; supplemental sign,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
F52,F,Parts of mammals,Visceral organ variant,none,determinative,uncertain — visceral organ variant,innards,supplemental viscera sign,Post-Gardiner supplemental; uncertain organ identification,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
G4,G,Birds,Buzzard/kite,tyw,triliteral,uncertain — buzzard or kite,bird of prey|to belong to,writing tyw 'vulture/buzzard' (uncertain),Difficult to distinguish from vulture; phonetic assignment uncertain,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
G54,G,Birds,Bound / plucked bird,none,determinative,uncertain — bound or plucked bird,to destroy|captive|bound enemy,destruction contexts; bound enemies,Bird with wings folded or being plucked; negative/destruction determinative,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
K5,K,Fish,Flat fish (Nile perch variant),none,determinative,uncertain — flat or large fish,Nile perch|large freshwater fish,large fish contexts,Uncertain species; possibly Lates niloticus or similar large fish,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
L7,L,Invertebrates,Spider / web,none,determinative,uncertain — spider or web,trap|weaving|spinning,uncertain supplemental invertebrate sign,Uncertain identification; possibly spider; post-Gardiner supplemental,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
M25,M,Trees and plants,Combination plant element,none,determinative,uncertain — combination plant sign,plant variant,supplemental plant contexts,Uncertain combined plant element; post-Gardiner supplemental,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
O35,O,Buildings,Door or bridge variant,none,determinative,uncertain — door or bridge element,door variant|crossing,supplemental architectural sign,Uncertain identification; possible drawbridge or door variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
S50,S,"Crowns, dress, staves",Composite / unclassified scepter,none,determinative,uncertain — composite scepter or unclassified,scepter variant|regalia supplement,supplemental scepter/regalia sign,Post-Gardiner or composite regalia sign; uncertain classification,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
T33,T,"Warfare, hunting, butchery",Sandal strap or knife variant,none,determinative,uncertain — sandal-strap shaped blade,blade variant|strap,supplemental weapon/tool sign,Uncertain: possibly a strap-shaped blade or variant,Needs Review,Post-Gardiner supplemental — verify against 1957 plates
Aa1,Aa,Unclassified,Unknown object (possibly cross-section of bone or joint),x,phonogram,uncertain — cross-section or joint,uniliteral x (kh)|unknown object,writing x (uniliteral kh sound),Uncertain object; possibly bone cross-section; phonogram for x (velar fricative),Needs Review,Core Aa unclassified — object unknown
Aa2,Aa,Unclassified,Unknown object (variant 1),none,determinative,uncertain — unclassified object 1,unknown|supplemental,supplemental unclassified sign,Uncertain identification; object not classified by Gardiner,Needs Review,Core Aa unclassified — object unknown
Aa3,Aa,Unclassified,Unknown object (variant 2),none,determinative,uncertain — unclassified object 2,unknown,supplemental sign,Unclassified sign; uncertain object,Needs Review,Core Aa unclassified — object unknown
Aa4,Aa,Unclassified,Unknown object (variant 3),none,determinative,uncertain — unclassified object 3,unknown,supplemental sign,Unclassified sign; uncertain object,Needs Review,Core Aa unclassified — object unknown
Aa5,Aa,Unclassified,Unknown object (variant 4),none,determinative,uncertain — unclassified object 4,unknown,supplemental sign,Unclassified sign; uncertain object,Needs Review,Core Aa unclassified — object unknown
Aa6,Aa,Unclassified,Unknown object (variant 5),none,determinative,uncertain — unclassified object 5,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa7,Aa,Unclassified,Unknown object (variant 6),bi3,biliteral,uncertain — possibly metallic ore or stone,mineral|metal ore|bi3,writing bi3 'metal/ore' (uncertain),Uncertain object; possibly a type of mineral ore; bi3 phonetic tentative,Needs Review,Core Aa unclassified — object unknown
Aa8,Aa,Unclassified,Unknown object (variant 7),none,determinative,uncertain — unclassified object 7,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa9,Aa,Unclassified,Unknown object (variant 8),none,determinative,uncertain — unclassified object 8,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa10,Aa,Unclassified,Unknown object (variant 9),none,determinative,uncertain — unclassified object 9,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa11,Aa,Unclassified,Unknown object (variant 10),none,determinative,uncertain — unclassified object 10,unknown,supplemental sign,Unclassified sign; phonetic value disputed,Needs Review,Core Aa unclassified — object unknown
Aa12,Aa,Unclassified,Unknown object (variant 11),none,determinative,uncertain — unclassified object 11,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa13,Aa,Unclassified,Unknown object (possibly a type of crown element),none,determinative,uncertain — crown or headwear element,crown element|headwear,royal or divine headwear contexts,Possibly a crown component; classification uncertain,Needs Review,Core Aa unclassified — object unknown
Aa14,Aa,Unclassified,Unknown object (variant 12),none,determinative,uncertain — unclassified object 12,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa15,Aa,Unclassified,Placenta-like symbol / uterine form,XA,biliteral,uncertain — placenta or uterine form,placenta|a thousand (archaic)|XA,writing XA 'placenta'; archaic for 'thousand',Possible placenta or womb symbol; XA 'placenta' and archaic 'thousand',Needs Review,Core Aa unclassified — object unknown
Aa16,Aa,Unclassified,Unknown object (variant 13),none,determinative,uncertain — unclassified object 13,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa17,Aa,Unclassified,Unknown object (variant 14),none,determinative,uncertain — unclassified object 14,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa18,Aa,Unclassified,Unknown object (variant 15),none,determinative,uncertain — unclassified object 15,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa19,Aa,Unclassified,Unknown object (variant 16),none,determinative,uncertain — unclassified object 16,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa20,Aa,Unclassified,Unknown object (variant 17),none,determinative,uncertain — unclassified object 17,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa21,Aa,Unclassified,Unknown object (variant 18),none,determinative,uncertain — unclassified object 18,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa22,Aa,Unclassified,Unknown object (variant 19),none,determinative,uncertain — unclassified object 19,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa23,Aa,Unclassified,Unknown object (variant 20),none,determinative,uncertain — unclassified object 20,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa24,Aa,Unclassified,Unknown object (variant 21),none,determinative,uncertain — unclassified object 21,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa25,Aa,Unclassified,Unknown object (possibly a type of mineral),none,determinative,uncertain — mineral or material,mineral|material|unknown,mineral or material contexts,Possibly a mineral or raw material; classification uncertain,Needs Review,Core Aa unclassified — object unknown
Aa26,Aa,Unclassified,Unknown object (possibly command/decree related),wD,biliteral,uncertain — command or decree symbol,to command|decree|wD,writing wD 'to command/decree' (uncertain),Uncertain object; wD 'to command/order' phonetic tentative,Needs Review,Core Aa unclassified — object unknown
Aa27,Aa,Unclassified,Unknown object (possibly plant or fruit),iSd,biliteral,uncertain — possibly persea tree or ished fruit,iSd persea|ished tree|writing palette,writing iSd 'persea tree' (uncertain),Uncertain object; possibly related to the sacred iSd (persea/ished) tree,Needs Review,Core Aa unclassified — object unknown
Aa28,Aa,Unclassified,Unknown object (variant 22),iry,triliteral,uncertain — object with guardian meaning,guardian|to belong to|iry,writing iry 'guardian/belonging to' (uncertain),Uncertain object; iry 'guardian/belonging to' phonetic tentative,Needs Review,Core Aa unclassified — object unknown
Aa29,Aa,Unclassified,Unknown object (variant 23),none,determinative,uncertain — unclassified object 23,unknown,supplemental sign,Unclassified sign,Needs Review,Core Aa unclassified — object unknown
Aa31,Aa,Unclassified,Unknown object (variant 24),none,determinative,uncertain — unclassified object 24,unknown,supplemental sign,Final Aa supplemental sign; uncertain classification,Needs Review,Core Aa unclassified — object unknown
